Model,Estación,Producto,Month,RMSE,MAPE
dummy_mean,ES8,GOA,Jun,0.0894525099167143,0.2126760625585929
dummy_mean,ES8,GOA,Jul,0.1525140831177596,0.4177168003457172
dummy_mean,ES8,GOA,Aug,0.2099981758577253,0.2885941268082904
dummy_mean,ES8,GOA,Sep,0.1028254528441202,0.2041287720360293
dummy_mean,ES8,GOA,Oct,0.1138200934255796,0.2625846421114108
dummy_mean,ES8,GOA,Nov,0.0859773373882948,0.2002850706190163
dummy_mean,ES8,GOA,Dec,0.1509342294858568,0.5271150621457795
dummy_mean,ES8,GOA,Jan,0.1328104299564897,0.4914324966465805
dummy_mean,ES9,95,Feb,0.0232500749955902,0.1192910844540495
dummy_mean,ES9,95,Mar,0.0416858474966462,0.2968327470237213
dummy_mean,ES9,95,Apr,0.0288467525914795,0.1268963551846171
dummy_mean,ES9,95,May,0.0256102688850029,0.1319609109440584
dummy_mean,ES9,95,Jun,0.0336595815444175,0.1050600561652069
dummy_mean,ES9,95,Jul,0.05160504555783,0.2652426071264864
dummy_mean,ES9,95,Aug,0.054937308809441,0.1981431310231442
dummy_mean,ES9,95,Sep,0.0275769034188595,0.1163537821071217
dummy_mean,ES9,95,Oct,0.022046868840586,0.1133967170173292
dummy_mean,ES9,95,Nov,0.0261498258331147,0.1434241765057313
dummy_mean,ES9,95,Dec,0.0354064513277339,0.1841076014161083
dummy_mean,ES9,95,Jan,0.0449242354965919,0.3464632282713478
dummy_mean,ES9,GOA,Feb,0.0965415648094763,0.1354337960999896
dummy_mean,ES9,GOA,Mar,0.211191161077218,2.7206158435811334
dummy_mean,ES9,GOA,Apr,0.1023167838558946,0.1522189790474443
dummy_mean,ES9,GOA,May,0.0959842596263017,0.1242595584228318
dummy_mean,ES9,GOA,Jun,0.1007492554360856,0.1325837442018332
dummy_mean,ES9,GOA,Jul,0.1924330508269812,0.5958617124671162
dummy_mean,ES9,GOA,Aug,0.0951930240508648,0.1197018220647396
dummy_mean,ES9,GOA,Sep,0.0879094667350086,0.1201074540819312
dummy_mean,ES9,GOA,Oct,0.1004221162440799,0.1471528091669739
dummy_mean,ES9,GOA,Nov,0.1014464814288086,0.1545715013031048
dummy_mean,ES9,GOA,Dec,0.1717010223850298,1.0287537030773788
dummy_mean,ES9,GOA,Jan,0.1776296913456155,0.7419200716700389
lstm,ES1,95,Feb,0.0082302136699269,1.0611368414880693
lstm,ES1,95,Mar,0.010681464550798,0.239705218712149
lstm,ES1,95,Apr,0.0070614348717552,0.0941534805000091
lstm,ES1,95,May,0.0119145577414288,0.1738099932925862
lstm,ES1,95,Jun,0.0127692540757222,0.2073999192825766
lstm,ES1,95,Jul,0.0062719074063465,0.0704591505496935
lstm,ES1,95,Aug,0.0071959168136511,0.0695641574175801
lstm,ES1,95,Sep,0.0073683648142302,0.1170180597758855
lstm,ES1,95,Oct,0.0088434832570361,0.1468545431738394
lstm,ES1,95,Nov,0.0042386235259413,0.082140514760905
lstm,ES1,95,Dec,0.0055607438003135,0.088761042607872
lstm,ES1,95,Jan,0.0034677888429037,0.0734383388745943
lstm,ES1,GOA,Feb,0.063435214230081,0.1127945725266374
lstm,ES1,GOA,Mar,0.0428731336484139,0.2014654032612452
lstm,ES1,GOA,Apr,0.0794901351171875,0.1390792606371128
lstm,ES1,GOA,May,0.1027839251258133,0.200470853756702
lstm,ES1,GOA,Jun,0.0667537130865211,0.1142621928652672
lstm,ES1,GOA,Jul,0.0438535593853622,0.0706009084605755
lstm,ES1,GOA,Aug,0.0391552252729851,0.0615164965409183
lstm,ES1,GOA,Sep,0.0266796931253302,0.0377573638335674
lstm,ES1,GOA,Oct,0.0250258814019995,0.0392816635881111
lstm,ES1,GOA,Nov,0.0304108528497818,0.05096050765656
lstm,ES1,GOA,Dec,0.0709203491522194,0.1431465794466392
lstm,ES1,GOA,Jan,0.0405345479284891,0.074987360469254
lstm,ES10,95,Feb,0.0206982414921451,0.0581921159754206
lstm,ES10,95,Mar,0.0160764081658761,0.0455724036332654
lstm,ES10,95,Apr,0.0190036054267411,0.0488119689329842
lstm,ES10,95,May,0.0171822225146128,0.039814697412594
lstm,ES10,95,Jun,0.0217888217854796,0.0597624535483563
